best on training set at iteration 0:  35%
best on training set at iteration 6800:  85%
best on training set at iteration 6900:  85%
best on training set at iteration 7000:  85%
best on training set at iteration 7100:  85%
best on training set at iteration 7200:  85%
best on training set at iteration 7300:  85%
best on training set at iteration 7400:  85%
best on training set at iteration 7500:  85%
best on training set at iteration 7600:  85%
best on training set at iteration 7700:  85%
best on training set at iteration 7800:  85%
best on training set at iteration 7900:  85%
best on training set at iteration 8000:  85%
best on training set at iteration 8100:  85%
best on training set at iteration 8200:  85%
best on training set at iteration 8300:  85%
best on training set at iteration 8400:  85%
best on training set at iteration 8500:  85%
best on training set at iteration 8600:  85%
best on training set at iteration 8700:  85%
best on training set at iteration 8800:  85%
best on training set at iteration 8900:  85%
best on training set at iteration 9000:  85%
best on training set at iteration 9100:  85%
best on training set at iteration 9200:  85%
best on training set at iteration 9300:  85%
best on training set at iteration 9400:  85%
best on training set at iteration 9500:  85%
best on training set at iteration 9600:  85%
best on training set at iteration 9700:  85%
best on training set at iteration 9800:  85%
best on training set at iteration 9900:  85%

 14-[-0  5] -> 0
 30-[1  9] -> 0
 25-[3  16] -> 0
 51-[2  16] -> 0
 35-[-0  14] -> 0
 21-[2  14] -> 0
 37-[1  10] -> 0
 29-[2  11] -> 0
 35-[-0  3] -> 0
 48-[-0  14] -> 0
 3-[2  11] -> 1
 31-[-0  11] -> 1
 20-[5  16] -> 1
 36-[14  16] -> 1
 43-[1  6] -> 1
 28-[15  16] -> 1
 9-[-0  6] -> 1
 57-[-0  11] -> 1
 52-[14  16] -> 1
 28-[9  16] -> 1
 51-[11  16] -> 2
 35-[0  7] -> 2
 3-[9  16] -> 2
 30-[-0  13] -> 2
 62-[3  16] -> 2
 39-[-0  4] -> 2
 38-[-0  1] -> 2
 45-[-0  5] -> 2
 49-[-0  13] -> 2
 14-[-0  14] -> 2
 46-[2  13] -> 3
 9-[3  14] -> 3
 20-[0  14] -> 3
 14-[3  16] -> 3
 3-[7  15] -> 3
 1-[-0  9] -> 3
 32-[-0  7] -> 3
 30-[-0  1] -> 3
 27-[8  14] -> 3
 59-[5  16] -> 3
 59-[-0  3] -> 4
 18-[5  14] -> 4
 39-[-0  7] -> 4
 16-[-0  7] -> 4
 31-[-0  7] -> 4
 62-[-0  16] -> 4
 60-[6  16] -> 4
 42-[3  16] -> 4
 54-[-0  9] -> 4
 20-[-0  8] -> 4
 11-[4  14] -> 5
 1-[-0  8] -> 5
 45-[6  15] -> 5
 16-[-0  1] -> 5
 35-[-0  6] -> 5
 18-[5  16] -> 5
 7-[-0  5] -> 5
 29-[3  12] -> 5
 27-[7  16] -> 5
 29-[2  4] -> 5
 56-[-0  10] -> 6
 16-[-0  12] -> 6
 20-[-0  8] -> 6
 13-[-0  2] -> 6
 29-[-0  3] -> 6
 51-[5  13] -> 6
 53-[7  13] -> 6
 18-[4  16] -> 6
 39-[-0  15] -> 6
 25-[-0  3] -> 6
 34-[1  7] -> 7
 46-[-0  3] -> 7
 49-[-0  3] -> 7
 15-[-0  13] -> 7
 56-[-0  2] -> 7
 45-[0  5] -> 7
 36-[3  16] -> 7
 53-[-0  5] -> 7
 17-[-0  9] -> 7
 51-[15  16] -> 7
 24-[-0  9] -> 8
 17-[6  9] -> 8
 35-[4  11] -> 8
 47-[-0  5] -> 8
 53-[11  14] -> 8
 34-[8  16] -> 8
 10-[8  16] -> 8
 42-[2  16] -> 8
 45-[2  13] -> 8
 55-[-0  16] -> 8
 1-[-0  1] -> 9
 18-[1  16] -> 9
 59-[1  15] -> 9
 3-[1  8] -> 9
 26-[2  15] -> 9
 36-[-0  14] -> 9
 60-[10  16] -> 9
 57-[-0  1] -> 9
 37-[2  15] -> 9
 6-[3  16] -> 9
ACCURACY on training set 85%

TEST ACCURACY 36.5039%
