best on training set at iteration 0:  74%
 27-[-0  15] -> 0
 8-[-0  12] -> 0
 11-[3  12] -> 0
 27-[-0  13] -> 0
 54-[-0  14] -> 0
 24-[-0  5] -> 0
 43-[-0  5] -> 0
 27-[-0  12] -> 0
 5-[1  4] -> 0
 18-[8  16] -> 0
 37-[2  13] -> 0
 62-[-0  13] -> 0
 11-[-0  13] -> 0
 2-[6  16] -> 0
 36-[-0  4] -> 0
 53-[5  15] -> 0
 43-[-0  6] -> 0
 38-[-0  8] -> 0
 3-[12  15] -> 0
 59-[2  16] -> 0
 35-[-0  1] -> 0
 13-[6  15] -> 0
 62-[-0  15] -> 0
 16-[-0  5] -> 0
 7-[-0  1] -> 0
 61-[1  15] -> 0
 31-[-0  10] -> 1
 28-[1  16] -> 1
 8-[-0  6] -> 1
 33-[7  10] -> 1
 42-[-0  6] -> 1
 27-[14  16] -> 1
 41-[-0  6] -> 1
 41-[-0  11] -> 1
 7-[-0  2] -> 1
 13-[8  16] -> 1
 57-[-0  8] -> 1
 3-[0  13] -> 1
 46-[-0  4] -> 1
 33-[3  7] -> 1
 54-[1  16] -> 1
 10-[1  16] -> 1
 30-[-0  16] -> 1
 13-[-0  16] -> 1
 45-[5  11] -> 1
 52-[2  16] -> 1
 30-[-0  10] -> 1
 39-[-0  6] -> 1
 30-[-0  13] -> 1
 30-[-0  14] -> 1
 59-[2  4] -> 1
 8-[-0  12] -> 1
 35-[9  16] -> 1
 5-[4  15] -> 1
 22-[1  12] -> 1
 63-[-0  6] -> 1
 54-[1  15] -> 1
 14-[-0  1] -> 1
 55-[2  16] -> 1
 2-[7  9] -> 1
 20-[13  16] -> 1
 56-[-0  3] -> 1
 23-[-0  15] -> 1
 37-[5  16] -> 1
 32-[-0  14] -> 1
 25-[4  16] -> 1
 5-[-0  1] -> 1
 8-[-0  7] -> 1
 63-[-0  3] -> 1
 50-[-0  8] -> 1
 31-[-0  14] -> 1
 24-[-0  10] -> 1
 22-[-0  15] -> 1
 27-[11  16] -> 1
 62-[2  8] -> 1
 23-[-0  14] -> 1
 17-[7  13] -> 2
 15-[-0  11] -> 2
 34-[-0  5] -> 2
 22-[-0  13] -> 2
 5-[-0  1] -> 2
 22-[-0  8] -> 2
 13-[1  5] -> 2
 27-[-0  12] -> 2
 22-[-0  14] -> 2
 17-[-0  5] -> 2
 8-[-0  14] -> 2
 50-[3  15] -> 2
 50-[8  16] -> 2
 52-[6  16] -> 2
 18-[8  16] -> 2
 23-[-0  8] -> 2
 23-[-0  7] -> 2
 16-[-0  13] -> 2
 33-[-0  4] -> 2
 39-[-0  11] -> 2
 34-[-0  6] -> 2
 46-[-0  6] -> 2
 55-[-0  9] -> 2
 11-[2  15] -> 2
 44-[5  12] -> 2
 34-[-0  15] -> 2
 51-[10  16] -> 2
 32-[-0  3] -> 2
 55-[0  12] -> 2
 37-[0  3] -> 2
 12-[3  16] -> 2
 62-[5  11] -> 2
 22-[-0  8] -> 2
 56-[-0  15] -> 2
 42-[-0  4] -> 2
 11-[9  13] -> 2
 63-[2  10] -> 2
 53-[1  7] -> 2
 40-[-0  8] -> 2
 43-[3  9] -> 2
 34-[-0  10] -> 2
 33-[-0  10] -> 2
 49-[-0  1] -> 2
 18-[6  11] -> 2
 46-[-0  6] -> 2
 18-[15  16] -> 2
 57-[-0  5] -> 2
 45-[-0  9] -> 2
 16-[-0  9] -> 2
 61-[2  12] -> 2
 1-[-0  10] -> 3
 51-[4  11] -> 3
 8-[-0  6] -> 3
 41-[-0  1] -> 3
 4-[10  16] -> 3
 63-[-0  6] -> 3
 47-[-0  11] -> 3
 56-[-0  14] -> 3
 3-[7  16] -> 3
 46-[1  16] -> 3
 55-[-0  11] -> 3
 43-[-0  14] -> 3
 51-[0  5] -> 3
 61-[2  14] -> 3
 39-[-0  8] -> 3
 43-[-0  8] -> 3
 10-[8  15] -> 3
 17-[-0  7] -> 3
 45-[8  14] -> 3
 26-[-0  13] -> 3
 18-[-0  11] -> 3
 47-[-0  2] -> 3
 1-[-0  15] -> 3
 21-[12  15] -> 3
 19-[-0  1] -> 3
 42-[-0  5] -> 3
 47-[-0  6] -> 3
 53-[3  16] -> 3
 63-[-0  4] -> 3
 25-[-0  4] -> 3
 21-[3  7] -> 3
 13-[2  16] -> 3
 24-[-0  16] -> 3
 31-[-0  11] -> 3
 37-[2  14] -> 3
 15-[-0  9] -> 3
 8-[-0  8] -> 3
 34-[1  16] -> 3
 28-[4  16] -> 3
 29-[3  8] -> 3
 36-[2  15] -> 3
 4-[7  16] -> 3
 16-[-0  10] -> 3
 51-[7  15] -> 3
 36-[1  10] -> 3
 54-[2  8] -> 3
 59-[14  16] -> 3
 22-[-0  1] -> 3
 5-[2  13] -> 3
 59-[12  16] -> 3
 24-[-0  15] -> 4
 48-[-0  16] -> 4
 51-[-0  15] -> 4
 25-[7  16] -> 4
 30-[1  16] -> 4
 8-[-0  2] -> 4
 62-[-0  4] -> 4
 6-[4  16] -> 4
 39-[-0  3] -> 4
 49-[-0  13] -> 4
 63-[-0  3] -> 4
 46-[1  12] -> 4
 10-[-0  9] -> 4
 20-[6  10] -> 4
 57-[-0  3] -> 4
 38-[1  14] -> 4
 35-[2  15] -> 4
 46-[-0  6] -> 4
 23-[-0  5] -> 4
 43-[8  16] -> 4
 4-[7  11] -> 4
 59-[-0  12] -> 4
 15-[-0  -0] -> 4
 4-[10  15] -> 4
 50-[-0  2] -> 4
 61-[0  8] -> 4
 5-[-0  10] -> 4
 43-[9  14] -> 4
 56-[-0  13] -> 4
 57-[-0  4] -> 4
 5-[3  14] -> 4
 45-[15  16] -> 4
 11-[11  14] -> 4
 9-[-0  7] -> 4
 25-[6  16] -> 4
 25-[1  15] -> 4
 39-[-0  11] -> 4
 36-[7  16] -> 4
 6-[2  16] -> 4
 50-[-0  5] -> 4
 9-[-0  15] -> 4
 48-[-0  1] -> 4
 55-[-0  5] -> 4
 62-[-0  9] -> 4
 45-[0  16] -> 4
 3-[-0  11] -> 4
 49-[-0  15] -> 4
 41-[-0  10] -> 4
 14-[2  8] -> 4
 23-[-0  1] -> 4
 49-[-0  6] -> 5
 42-[-0  7] -> 5
 19-[3  15] -> 5
 10-[8  15] -> 5
 40-[-0  13] -> 5
 16-[-0  2] -> 5
 39-[-0  12] -> 5
 27-[3  8] -> 5
 57-[-0  9] -> 5
 33-[-0  8] -> 5
 8-[-0  15] -> 5
 36-[-0  2] -> 5
 35-[-0  11] -> 5
 39-[-0  12] -> 5
 55-[-0  10] -> 5
 13-[2  16] -> 5
 63-[-0  15] -> 5
 21-[-0  3] -> 5
 51-[4  16] -> 5
 48-[-0  12] -> 5
 63-[-0  3] -> 5
 55-[-0  16] -> 5
 16-[-0  5] -> 5
 4-[2  15] -> 5
 51-[2  10] -> 5
 30-[1  2] -> 5
 9-[0  15] -> 5
 29-[7  16] -> 5
 51-[6  16] -> 5
 43-[-0  3] -> 5
 9-[0  6] -> 5
 45-[12  15] -> 5
 6-[5  7] -> 5
 29-[5  13] -> 5
 12-[2  8] -> 5
 38-[3  9] -> 5
 11-[2  10] -> 5
 43-[-0  14] -> 5
 25-[2  9] -> 5
 11-[12  16] -> 5
 14-[-0  4] -> 5
 15-[-0  12] -> 5
 58-[1  15] -> 5
 47-[-0  9] -> 5
 56-[-0  1] -> 5
 17-[3  10] -> 5
 23-[-0  15] -> 5
 3-[8  16] -> 5
 27-[4  11] -> 5
 6-[4  12] -> 5
 11-[3  15] -> 6
 23-[-0  11] -> 6
 23-[-0  9] -> 6
 35-[11  16] -> 6
 61-[3  13] -> 6
 29-[1  15] -> 6
 59-[4  12] -> 6
 23-[-0  5] -> 6
 57-[-0  7] -> 6
 10-[2  12] -> 6
 53-[6  12] -> 6
 15-[-0  11] -> 6
 50-[1  12] -> 6
 44-[-0  12] -> 6
 15-[-0  10] -> 6
 21-[-0  9] -> 6
 16-[-0  10] -> 6
 54-[2  8] -> 6
 13-[-0  7] -> 6
 35-[5  16] -> 6
 62-[2  12] -> 6
 18-[2  16] -> 6
 61-[8  13] -> 6
 48-[-0  6] -> 6
 35-[1  10] -> 6
 39-[-0  4] -> 6
 32-[-0  15] -> 6
 55-[-0  1] -> 6
 5-[-0  -0] -> 6
 49-[-0  5] -> 6
 38-[3  12] -> 6
 54-[4  15] -> 6
 22-[-0  12] -> 6
 44-[-0  14] -> 6
 63-[-0  7] -> 6
 10-[4  16] -> 6
 51-[3  14] -> 6
 15-[-0  12] -> 6
 61-[6  15] -> 6
 3-[9  16] -> 6
 2-[1  16] -> 6
 17-[-0  11] -> 6
 20-[-0  2] -> 6
 2-[1  15] -> 6
 33-[5  11] -> 6
 3-[3  15] -> 6
 29-[1  13] -> 6
 9-[-0  8] -> 6
 12-[3  6] -> 6
 39-[-0  15] -> 6
 63-[-0  16] -> 7
 31-[-0  9] -> 7
 11-[7  15] -> 7
 48-[-0  10] -> 7
 43-[8  16] -> 7
 50-[1  15] -> 7
 19-[-0  6] -> 7
 52-[0  8] -> 7
 2-[7  16] -> 7
 16-[-0  1] -> 7
 16-[-0  1] -> 7
 41-[-0  6] -> 7
 11-[4  15] -> 7
 27-[15  16] -> 7
 14-[7  16] -> 7
 30-[4  15] -> 7
 59-[4  14] -> 7
 16-[-0  14] -> 7
 61-[-0  1] -> 7
 33-[-0  2] -> 7
 58-[4  15] -> 7
 32-[-0  3] -> 7
 13-[10  16] -> 7
 57-[-0  11] -> 7
 47-[-0  14] -> 7
 56-[-0  16] -> 7
 41-[-0  16] -> 7
 10-[10  15] -> 7
 10-[9  14] -> 7
 17-[-0  4] -> 7
 44-[3  13] -> 7
 48-[-0  1] -> 7
 24-[-0  9] -> 7
 37-[2  16] -> 7
 4-[10  16] -> 7
 48-[-0  5] -> 7
 5-[8  16] -> 7
 15-[1  10] -> 7
 62-[-0  11] -> 7
 48-[-0  14] -> 7
 53-[-0  5] -> 7
 32-[-0  13] -> 7
 16-[-0  11] -> 7
 51-[11  15] -> 7
 29-[7  16] -> 7
 42-[-0  13] -> 7
 33-[2  16] -> 7
 13-[2  14] -> 7
 42-[-0  15] -> 7
 7-[-0  16] -> 7
 29-[3  7] -> 8
 15-[-0  10] -> 8
 45-[4  12] -> 8
 49-[-0  1] -> 8
 42-[5  12] -> 8
 63-[-0  7] -> 8
 62-[-0  10] -> 8
 16-[-0  11] -> 8
 5-[4  16] -> 8
 21-[10  16] -> 8
 21-[4  15] -> 8
 12-[0  9] -> 8
 63-[-0  16] -> 8
 10-[12  16] -> 8
 37-[2  12] -> 8
 34-[-0  14] -> 8
 23-[-0  -0] -> 8
 62-[-0  8] -> 8
 5-[0  6] -> 8
 36-[6  15] -> 8
 9-[4  15] -> 8
 51-[5  12] -> 8
 25-[0  12] -> 8
 63-[-0  5] -> 8
 63-[-0  5] -> 8
 30-[-0  14] -> 8
 39-[-0  8] -> 8
 39-[-0  13] -> 8
 44-[5  11] -> 8
 60-[7  13] -> 8
 43-[1  10] -> 8
 15-[-0  4] -> 8
 33-[0  5] -> 8
 49-[-0  4] -> 8
 12-[0  12] -> 8
 56-[-0  14] -> 8
 52-[6  12] -> 8
 33-[0  2] -> 8
 44-[14  16] -> 8
 43-[3  10] -> 8
 51-[3  15] -> 8
 50-[7  16] -> 8
 14-[-0  6] -> 8
 36-[0  14] -> 8
 29-[6  16] -> 8
 60-[4  14] -> 8
 38-[-0  14] -> 8
 23-[-0  4] -> 8
 3-[3  12] -> 8
 33-[-0  14] -> 8
 9-[1  15] -> 9
 54-[-0  16] -> 9
 24-[-0  11] -> 9
 21-[7  15] -> 9
 19-[1  4] -> 9
 30-[5  10] -> 9
 63-[-0  3] -> 9
 49-[-0  3] -> 9
 52-[11  16] -> 9
 6-[-0  5] -> 9
 24-[-0  16] -> 9
 1-[-0  10] -> 9
 8-[-0  1] -> 9
 13-[3  13] -> 9
 62-[-0  11] -> 9
 18-[6  15] -> 9
 50-[-0  15] -> 9
 36-[-0  8] -> 9
 21-[10  16] -> 9
 24-[-0  5] -> 9
 29-[14  16] -> 9
 4-[5  11] -> 9
 46-[-0  14] -> 9
 3-[9  15] -> 9
 12-[3  10] -> 9
 28-[9  16] -> 9
 51-[-0  14] -> 9
 15-[-0  10] -> 9
 63-[-0  2] -> 9
 58-[-0  9] -> 9
 9-[-0  12] -> 9
 17-[-0  11] -> 9
 24-[-0  2] -> 9
 9-[-0  5] -> 9
 55-[-0  6] -> 9
 11-[4  6] -> 9
 59-[4  15] -> 9
 57-[-0  13] -> 9
 30-[4  9] -> 9
 7-[-0  13] -> 9
 42-[-0  9] -> 9
 60-[11  16] -> 9
 6-[0  2] -> 9
 28-[6  11] -> 9
 11-[6  16] -> 9
 12-[1  16] -> 9
 55-[-0  8] -> 9
 29-[6  13] -> 9
 30-[3  7] -> 9
 27-[9  16] -> 9
ACCURACY on training set 92%

TEST ACCURACY 54.4727%
